Id,SalePrice
1461,132838.706109
1462,158638.326149
1463,190745.574078
1464,188096.392007
1465,199896.257203
1466,177684.347099
1467,174061.021216
1468,162877.554951
1469,173897.344143
1470,125871.295479
1471,203027.572644
1472,103239.809774
1473,106710.724963
1474,147613.852652
1475,111308.862204
1476,385745.993889
1477,255112.294556
1478,300840.497729
1479,257615.849546
1480,501833.239188
1481,307825.381701
1482,200884.809504
1483,181869.239151
1484,162355.516211
1485,170803.565045
1486,196368.575337
1487,325851.926719
1488,232476.989471
1489,212333.772015
1490,231579.984022
1491,194798.856496
1492,94772.502017
1493,189979.849423
1494,298159.860432
1495,290345.58009
1496,229755.037049
1497,179028.546565
1498,156383.838393
1499,158641.000308
1500,158958.177949
1501,171110.720919
1502,149493.243147
1503,287993.674134
1504,229703.008605
1505,226776.762205
1506,152824.545216
1507,239691.507332
1508,204458.852694
1509,156334.575732
1510,145609.148124
1511,151945.025414
1512,168371.257877
1513,132696.922092
1514,200275.057073
1515,245884.094332
1516,153748.599536
1517,165290.267066
1518,141937.317675
1519,253114.597534
1520,128745.748615
1521,136561.29482
1522,166045.623014
1523,108753.154038
1524,118015.635311
1525,122427.269113
1526,125597.24593
1527,109680.525477
1528,133821.391951
1529,139597.82581
1530,172664.308311
1531,133174.512225
1532,108412.848213
1533,137146.367142
1534,123207.697482
1535,179226.573012
1536,117350.36072
1537,104028.239499
1538,155950.569724
1539,218073.824206
1540,84593.189446
1541,142248.188116
1542,142986.235779
1543,191990.282731
1544,79150.166028
1545,112756.32893
1546,125201.974069
1547,136186.886908
1548,124469.803135
1549,123944.674824
1550,145302.876952
1551,124240.045429
1552,150418.163629
1553,169915.32298
1554,104118.043182
1555,176417.833491
1556,77433.625714
1557,122130.454104
1558,94994.226631
1559,113601.83824
1560,150849.097264
1561,130049.890198
1562,137157.566291
1563,119832.299688
1564,165954.867422
1565,153707.77605
1566,241585.188382
1567,75383.413462
1568,227018.299522
1569,147672.135136
1570,133264.421353
1571,128306.132306
1572,144615.372508
1573,260858.597547
1574,111048.070271
1575,214843.102006
1576,233206.800945
1577,196919.542274
1578,145015.50301
1579,141852.268696
1580,186054.599504
1581,154943.521666
1582,124126.697511
1583,338460.483672
1584,237699.544731
1585,146494.144272
1586,84477.971691
1587,99262.120606
1588,141068.60351
1589,102029.404497
1590,130129.208512
1591,94970.003768
1592,121877.930612
1593,119175.324571
1594,141951.846956
1595,131769.484092
1596,243936.136063
1597,187529.754787
1598,201525.411015
1599,163783.04911
1600,170734.370444
1601,86213.832762
1602,124153.279859
1603,100743.80436
1604,275456.328869
1605,242600.887915
1606,166725.0813
1607,194842.483513
1608,208539.674764
1609,193778.138354
1610,153096.158564
1611,142834.756195
1612,173174.982934
1613,175254.615994
1614,129046.627078
1615,91103.99469
1616,78639.801969
1617,99700.908968
1618,123735.738428
1619,141302.803747
1620,194587.604708
1621,148057.867935
1622,134551.841107
1623,269728.593596
1624,232287.016304
1625,131238.97175
1626,169024.928804
1627,186519.354695
1628,256470.257775
1629,164224.085287
1630,392889.166604
1631,207534.499585
1632,240049.856164
1633,163318.085404
1634,192372.291467
1635,174532.906426
1636,155908.325255
1637,189891.714515
1638,200382.212702
1639,183333.607636
1640,234988.289964
1641,178477.890726
1642,212832.084776
1643,220177.895079
1644,218081.367001
1645,191493.626745
1646,149334.663142
1647,155431.985201
1648,128423.789637
1649,129027.300139
1650,120491.777504
1651,128239.753782
1652,103171.958433
1653,99363.780788
1654,149892.960751
1655,143494.741976
1656,144261.380812
1657,148441.822452
1658,150631.780085
1659,119832.078458
1660,163473.014494
1661,534856.710724
1662,384170.294905
1663,400208.37205
1664,516672.086297
1665,326589.830818
1666,322928.488406
1667,375356.338767
1668,341013.817772
1669,282080.095981
1670,353568.399913
1671,282993.254796
1672,480374.758423
1673,332085.665878
1674,248084.998205
1675,200412.40939
1676,198720.986284
1677,223340.816159
1678,465607.693689
1679,401318.662626
1680,331372.881022
1681,247890.731635
1682,298449.110534
1683,187372.079794
1684,176951.084198
1685,178535.553478
1686,172320.890436
